FirstName,LastName,GradYear,SkillName,ProficiencyLevel
Jane,Doe,2018,Python,Expert
John,Smith,2015,SQL,Intermediate
Alice,Jones,2019,Data Analysis,Expert
Bob,Williams,2022,JavaScript,Beginner
Sarah,Brown,2016,Project Management,Expert
David,Lee,2020,Cloud Computing,Intermediate
Emily,Garcia,2017,Python,Intermediate
Frank,Miller,2019,Data Analysis,Intermediate
Grace,Wilson,2021,JavaScript,Expert
Henry,Moore,2015,SQL,Expert
Chris,Taylor,2014,DevOps,Expert
Maria,Hernandez,2018,Java,Intermediate
Alex,Chen,2023,Machine Learning,Beginner
Laura,Reyes,2016,Cybersecurity,Expert
Tom,Baker,2017,Data Analysis,Expert
Mia,Lopez,2020,SQL,Intermediate
Ethan,King,2022,Python,Intermediate
Chloe,Scott,2019,Project Management,Intermediate
Ben,Adams,2015,Cloud Computing,Expert
Olivia,Wright,2014,JavaScript,Beginner
